ratio,pool_seed,model_seed,policy,param,cost_rate,avail,n_prev,n_fail,fails_per_1000,wear_fails,false30_rate,mean_rem_at_prev,op
20,0,3,reactive,,0.5053929121725732,0.8022249690976514,0.0,400.0,24.65331278890601,90.0,0.0,0.0,16225.0
20,0,3,periodic,40,0.4104504183727969,0.8167805729242402,185.0,215.0,19.13833006943208,0.0,1.0,46.75314679621991,11234.0
20,0,3,risk,0.5,0.4893525179856115,0.8049910498052016,37.0,363.0,23.741007194244606,71.0,0.7837837837837838,50.40951051836321,15290.0
20,0,3,rul,16,0.4155854697963878,0.8242542514636186,106.0,294.0,19.88770885476561,1.0,0.14150943396226415,21.62117926634995,14783.0
20,0,3,risk_gated,0.5,0.4977657498898609,0.8037331175072082,15.0,385.0,24.230599786015482,81.0,0.5333333333333333,43.89473828014353,15889.0
20,0,3,rul_gated,16,0.43877257262496727,0.8187272337690165,77.0,323.0,21.133211201256216,18.0,0.09090909090909091,18.30391763191515,15284.0
2,0,4,reactive,,0.061633281972265024,0.8022249690976514,0.0,400.0,24.65331278890601,90.0,0.0,0.0,16225.0
2,0,4,periodic,60,0.05869014084507042,0.8232838589981447,119.0,281.0,19.788732394366196,0.0,0.29411764705882354,26.327286475699395,14200.0
2,0,4,risk,0.8,0.06174479975162993,0.8023215264285358,4.0,396.0,24.588637069233158,89.0,1.0,58.60994491049073,16105.0
2,0,4,rul,8,0.057368117428369975,0.8210620493658228,75.0,325.0,20.831997948849434,18.0,0.0,13.14785066913958,15601.0
2,0,4,risk_gated,0.8,0.061633281972265024,0.8022249690976514,0.0,400.0,24.65331278890601,90.0,0.0,0.0,16225.0
2,0,4,rul_gated,8,0.059100884067966646,0.8128535752510065,41.0,359.0,22.509248228729074,49.0,0.0,9.171755322380832,15949.0
5,0,4,reactive,,0.13559322033898305,0.8022249690976514,0.0,400.0,24.65331278890601,90.0,0.0,0.0,16225.0
5,0,4,periodic,60,0.11805633802816902,0.8232838589981447,119.0,281.0,19.788732394366196,0.0,0.29411764705882354,26.327286475699395,14200.0
5,0,4,risk,0.5,0.13398083738023361,0.8041160949868074,36.0,364.0,23.88764929780811,71.0,0.8055555555555556,51.124533976112126,15238.0
5,0,4,rul,16,0.11802254515822355,0.8233255059823326,105.0,295.0,20.032595409479832,0.0,0.13333333333333333,22.11521881439994,14726.0
5,0,4,risk_gated,0.5,0.13477577206113595,0.8031826218742106,13.0,387.0,24.34115353166866,82.0,0.5384615384615384,44.85225164449572,15899.0
5,0,4,rul_gated,16,0.12043743042367887,0.8203599247918345,82.0,318.0,20.82378364219763,14.0,0.08536585365853659,18.221274348292816,15271.0
10,0,4,reactive,,0.2588597842835131,0.8022249690976514,0.0,400.0,24.65331278890601,90.0,0.0,0.0,16225.0
10,0,4,periodic,40,0.21906711767847606,0.8167805729242402,185.0,215.0,19.13833006943208,0.0,1.0,46.75314679621991,11234.0
